<meta message time_signature numerator=2 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message key_signature key='C' time=0>
<meta message set_tempo tempo=833332 time=0>
<meta message track_name name='Symphony no.7, 2nd movement' time=0>
<meta message text text='Ludwig van Beethoven' time=0>
<meta message set_tempo tempo=833332 time=1024>
<meta message set_tempo tempo=967740 time=139776>
<meta message set_tempo tempo=1111111 time=512>
<meta message end_of_track time=1>
program_change 0 73 0 
control_change 0 121 0 0 
control_change 0 64 0 0 
control_change 0 91 52 0 
control_change 0 10 70 0 
control_change 0 7 76 0 
<meta message track_name name='2 Flutes' time=0>
note_on 0 80 79 37120 
note_off 0 80 0 256 
note_on 0 81 84 256 
note_off 0 81 0 256 
note_on 0 76 127 0 
note_on 0 88 127 0 
note_off 0 76 0 256 
note_off 0 88 0 0 
note_on 0 76 114 0 
note_on 0 88 114 0 
note_off 0 76 0 76 
note_off 0 88 0 0 
note_on 0 76 111 52 
note_on 0 88 111 0 
note_off 0 76 0 76 
note_off 0 88 0 0 
note_on 0 76 114 52 
note_on 0 88 114 0 
note_off 0 76 0 153 
note_off 0 88 0 0 
note_on 0 76 116 103 
note_on 0 88 116 0 
note_off 0 76 0 145 
note_off 0 88 0 0 
note_on 0 76 108 111 
note_on 0 88 108 0 
note_off 0 76 0 256 
note_off 0 88 0 0 
note_on 0 76 112 0 
note_on 0 88 112 0 
note_off 0 76 0 76 
note_off 0 88 0 0 
note_on 0 76 113 52 
note_on 0 88 113 0 
note_off 0 76 0 76 
note_off 0 88 0 0 
note_on 0 76 112 52 
note_on 0 88 112 0 
note_off 0 76 0 153 
note_off 0 88 0 0 
note_on 0 76 116 103 
note_on 0 88 116 0 
note_off 0 76 0 145 
note_off 0 88 0 0 
note_on 0 76 107 111 
note_on 0 88 107 0 
note_off 0 76 0 256 
note_off 0 88 0 0 
note_on 0 76 111 0 
note_on 0 88 111 0 
note_off 0 76 0 76 
note_off 0 88 0 0 
note_on 0 78 123 52 
note_on 0 90 123 0 
note_off 0 78 0 76 
note_off 0 90 0 0 
note_on 0 79 120 52 
note_on 0 91 120 0 
note_off 0 79 0 153 
note_off 0 91 0 0 
note_on 0 79 110 103 
note_on 0 91 110 0 
note_off 0 79 0 145 
note_off 0 91 0 0 
note_on 0 79 114 111 
note_on 0 91 114 0 
note_off 0 79 0 256 
note_off 0 91 0 0 
note_on 0 79 112 0 
note_on 0 91 112 0 
note_off 0 79 0 76 
note_off 0 91 0 0 
note_on 0 79 112 52 
note_on 0 91 112 0 
note_off 0 79 0 76 
note_off 0 91 0 0 
note_on 0 79 110 52 
note_on 0 91 110 0 
note_off 0 79 0 256 
note_off 0 91 0 0 
note_on 0 79 100 256 
note_off 0 79 0 256 
note_on 0 79 111 0 
note_off 0 79 0 128 
note_on 0 81 115 0 
note_off 0 81 0 128 
note_on 0 83 119 0 
note_off 0 83 0 153 
note_on 0 83 112 103 
note_off 0 83 0 137 
note_on 0 78 127 119 
note_on 0 90 127 0 
note_off 0 78 0 256 
note_off 0 90 0 0 
note_on 0 78 114 0 
note_on 0 90 114 0 
note_off 0 78 0 76 
note_off 0 90 0 0 
note_on 0 80 117 52 
note_on 0 92 117 0 
note_off 0 80 0 76 
note_off 0 92 0 0 
note_on 0 81 117 52 
note_on 0 93 117 0 
note_off 0 81 0 153 
note_off 0 93 0 0 
note_on 0 81 112 103 
note_on 0 93 112 0 
note_off 0 81 0 145 
note_off 0 93 0 0 
note_on 0 76 100 111 
note_on 0 88 100 0 
note_off 0 76 0 256 
note_off 0 88 0 0 
note_on 0 76 107 0 
note_on 0 88 107 0 
note_off 0 76 0 76 
note_off 0 88 0 0 
note_on 0 76 110 52 
note_on 0 88 110 0 
note_off 0 76 0 76 
note_off 0 88 0 0 
note_on 0 76 113 52 
note_on 0 88 113 0 
note_off 0 76 0 153 
note_off 0 88 0 0 
note_on 0 76 118 103 
note_on 0 88 118 0 
note_off 0 76 0 145 
note_off 0 88 0 0 
note_on 0 76 116 111 
note_on 0 88 116 0 
note_off 0 76 0 256 
note_off 0 88 0 0 
note_on 0 78 121 0 
note_on 0 90 121 0 
note_off 0 78 0 76 
note_off 0 90 0 0 
note_on 0 80 121 52 
note_on 0 92 121 0 
note_off 0 80 0 76 
note_off 0 92 0 0 
note_on 0 81 121 52 
note_on 0 93 121 0 
note_off 0 81 0 256 
note_off 0 93 0 0 
note_on 0 78 93 1280 
note_on 0 90 93 0 
note_off 0 78 0 256 
note_off 0 90 0 0 
note_on 0 78 97 0 
note_on 0 90 97 0 
note_off 0 78 0 76 
note_off 0 90 0 0 
note_on 0 80 97 52 
note_on 0 92 97 0 
note_off 0 80 0 76 
note_off 0 92 0 0 
note_on 0 81 92 52 
note_on 0 93 92 0 
note_off 0 81 0 153 
note_off 0 93 0 0 
note_on 0 81 77 103 
note_on 0 93 77 0 
note_off 0 81 0 145 
note_off 0 93 0 0 
note_on 0 76 51 111 
note_on 0 88 51 0 
note_off 0 76 0 256 
note_off 0 88 0 0 
note_on 0 76 59 0 
note_on 0 88 59 0 
note_off 0 76 0 76 
note_off 0 88 0 0 
note_on 0 76 56 52 
note_on 0 88 56 0 
note_off 0 76 0 76 
note_off 0 88 0 0 
note_on 0 76 54 52 
note_on 0 88 54 0 
note_off 0 76 0 153 
note_off 0 88 0 0 
note_on 0 76 54 103 
note_on 0 88 54 0 
note_off 0 76 0 145 
note_off 0 88 0 0 
note_on 0 76 56 111 
note_on 0 88 56 0 
note_off 0 76 0 256 
note_off 0 88 0 0 
note_on 0 78 54 0 
note_on 0 90 54 0 
note_off 0 78 0 76 
note_off 0 90 0 0 
note_on 0 80 50 52 
note_on 0 92 50 0 
note_off 0 80 0 76 
note_off 0 92 0 0 
note_on 0 81 48 52 
note_on 0 93 48 0 
note_off 0 81 0 256 
note_off 0 93 0 0 
note_on 0 88 43 6144 
note_on 0 91 43 0 
note_off 0 88 0 1024 
note_off 0 91 0 0 
note_on 0 86 74 0 
note_on 0 90 74 0 
note_on 0 85 57 512 
note_on 0 88 57 0 
note_off 0 86 0 10 
note_off 0 90 0 0 
note_off 0 85 0 233 
note_off 0 88 0 0 
note_on 0 83 53 13 
note_on 0 86 53 0 
note_on 0 81 54 256 
note_on 0 85 54 0 
note_off 0 83 0 5 
note_off 0 86 0 0 
note_on 0 80 49 251 
note_on 0 83 49 0 
note_off 0 81 0 5 
note_off 0 85 0 0 
note_on 0 78 54 251 
note_on 0 87 54 0 
note_off 0 80 0 5 
note_off 0 83 0 0 
note_on 0 76 54 251 
note_on 0 88 54 0 
note_off 0 78 0 5 
note_off 0 87 0 0 
note_off 0 76 0 238 
note_off 0 88 0 0 
note_on 0 88 100 9485 
note_off 0 88 0 597 
note_on 0 89 96 0 
note_on 0 88 91 85 
note_off 0 89 0 1 
note_on 0 91 96 85 
note_off 0 88 0 1 
note_on 0 89 77 84 
note_off 0 91 0 1 
note_on 0 81 69 84 
note_off 0 89 0 1 
note_off 0 81 0 80 
note_on 0 84 50 5 
note_on 0 88 91 256 
note_off 0 84 0 5 
note_on 0 86 83 123 
note_off 0 88 0 2 
note_off 0 86 0 119 
note_on 0 84 74 7 
note_off 0 84 0 256 
note_on 0 89 73 256 
note_off 0 89 0 384 
note_on 0 89 80 0 
note_off 0 89 0 128 
note_on 0 89 80 0 
note_on 0 88 74 85 
note_off 0 89 0 1 
note_off 0 88 0 79 
note_on 0 86 76 5 
note_off 0 86 0 51 
note_on 0 84 74 35 
note_off 0 84 0 51 
note_on 0 83 75 34 
note_off 0 83 0 51 
note_on 0 81 74 34 
note_off 0 81 0 51 
note_on 0 79 75 35 
note_on 0 81 78 256 
note_off 0 79 0 5 
note_off 0 81 0 116 
note_on 0 83 80 7 
note_off 0 83 0 76 
note_on 0 84 80 52 
note_off 0 84 0 341 
note_on 0 86 84 0 
note_on 0 88 93 85 
note_off 0 86 0 1 
note_off 0 88 0 80 
note_on 0 89 90 5 
note_off 0 89 0 384 
note_on 0 89 86 0 
note_off 0 89 0 128 
note_on 0 89 94 0 
note_off 0 89 0 51 
note_on 0 88 88 34 
note_off 0 88 0 51 
note_on 0 86 87 34 
note_off 0 86 0 51 
note_on 0 84 102 35 
note_off 0 84 0 51 
note_on 0 83 90 34 
note_off 0 83 0 51 
note_on 0 81 87 34 
note_off 0 81 0 51 
note_on 0 79 92 35 
note_off 0 79 0 128 
note_on 0 76 104 2176 
note_on 0 88 104 0 
note_off 0 76 0 76 
note_off 0 88 0 0 
note_on 0 76 110 52 
note_on 0 88 110 0 
note_off 0 76 0 76 
note_off 0 88 0 0 
note_on 0 84 45 52 
note_on 0 83 48 512 
note_off 0 84 0 10 
note_off 0 83 0 467 
note_on 0 83 54 35 
note_off 0 83 0 55 
note_on 0 84 54 0 
note_on 0 86 54 55 
note_off 0 84 0 0 
note_on 0 84 45 231 
note_off 0 84 0 85 
note_on 0 83 45 0 
note_off 0 86 0 7 
note_off 0 83 0 79 
note_on 0 83 51 0 
note_on 0 84 55 128 
note_off 0 83 0 2 
note_off 0 84 0 119 
note_on 0 84 50 7 
note_off 0 84 0 256 
note_on 0 84 51 0 
note_on 0 86 55 384 
note_off 0 84 0 7 
note_off 0 86 0 114 
note_on 0 87 52 7 
note_on 0 88 54 128 
note_off 0 87 0 2 
note_off 0 88 0 119 
note_on 0 88 49 7 
note_off 0 88 0 76 
note_on 0 88 44 52 
note_off 0 88 0 76 
note_on 0 86 52 52 
note_off 0 86 0 55 
note_on 0 88 52 0 
note_on 0 89 52 55 
note_off 0 88 0 0 
note_on 0 88 48 231 
note_off 0 88 0 85 
note_on 0 86 45 0 
note_off 0 89 0 7 
note_off 0 86 0 79 
note_on 0 86 49 0 
note_on 0 88 45 128 
note_off 0 86 0 2 
note_off 0 88 0 119 
note_on 0 88 49 7 
note_off 0 88 0 256 
note_on 0 88 48 0 
note_on 0 90 50 384 
note_off 0 88 0 7 
note_on 0 88 55 121 
note_off 0 90 0 2 
note_on 0 87 51 254 
note_off 0 88 0 5 
note_off 0 87 0 116 
note_on 0 86 40 135 
note_on 0 88 44 384 
note_off 0 86 0 7 
note_on 0 86 48 121 
note_off 0 88 0 2 
note_on 0 85 45 126 
note_off 0 86 0 2 
note_on 0 84 42 126 
note_off 0 85 0 2 
note_off 0 84 0 119 
note_on 0 84 42 135 
note_on 0 83 42 512 
note_off 0 84 0 10 
note_on 0 84 54 246 
note_off 0 83 0 5 
note_off 0 84 0 216 
note_on 0 83 45 35 
note_off 0 83 0 55 
note_on 0 84 45 0 
note_on 0 86 45 55 
note_off 0 84 0 0 
note_on 0 84 45 231 
note_off 0 84 0 85 
note_on 0 83 41 0 
note_off 0 86 0 7 
note_off 0 83 0 79 
note_on 0 81 48 0 
note_off 0 81 0 51 
note_on 0 81 47 34 
note_on 0 83 47 85 
note_off 0 81 0 1 
note_off 0 83 0 80 
note_on 0 84 54 5 
note_off 0 84 0 51 
note_on 0 84 48 34 
note_on 0 86 48 85 
note_off 0 84 0 1 
note_on 0 88 52 85 
note_off 0 86 0 1 
note_off 0 88 0 370 
note_on 0 90 48 13 
note_on 0 88 45 128 
note_off 0 90 0 2 
note_on 0 87 41 254 
note_off 0 88 0 5 
note_off 0 87 0 116 
note_on 0 86 42 135 
note_on 0 83 38 85 
note_off 0 86 0 1 
note_on 0 85 53 84 
note_off 0 83 0 1 
note_on 0 86 57 85 
note_off 0 85 0 1 
note_on 0 88 48 84 
note_off 0 86 0 1 
note_on 0 86 44 84 
note_off 0 88 0 1 
note_off 0 86 0 80 
note_on 0 86 48 5 
note_on 0 85 41 128 
note_off 0 86 0 2 
note_on 0 84 45 126 
note_off 0 85 0 2 
note_off 0 84 0 119 
note_on 0 84 43 135 
note_on 0 83 40 512 
note_off 0 84 0 10 
note_on 0 84 48 246 
note_off 0 83 0 5 
note_off 0 84 0 216 
note_on 0 83 53 35 
note_off 0 83 0 55 
note_on 0 84 53 0 
note_on 0 86 53 55 
note_off 0 84 0 0 
note_on 0 84 49 231 
note_off 0 84 0 85 
note_on 0 83 46 0 
note_off 0 86 0 7 
note_off 0 83 0 79 
note_on 0 81 47 0 
note_off 0 81 0 256 
note_on 0 81 43 256 
note_off 0 81 0 341 
note_on 0 83 46 0 
note_on 0 85 46 85 
note_off 0 83 0 1 
note_off 0 85 0 80 
note_on 0 85 45 5 
note_on 0 86 42 128 
note_off 0 85 0 2 
note_off 0 86 0 119 
note_on 0 86 50 7 
note_off 0 86 0 256 
note_on 0 86 49 0 
note_off 0 86 0 341 
note_on 0 88 47 0 
note_on 0 89 52 85 
note_off 0 88 0 1 
note_off 0 89 0 80 
note_on 0 89 50 5 
note_on 0 88 44 128 
note_off 0 89 0 2 
note_off 0 88 0 119 
note_on 0 88 46 7 
note_off 0 88 0 256 
note_on 0 81 49 0 
note_off 0 81 0 85 
note_on 0 81 48 0 
note_off 0 81 0 85 
note_on 0 81 56 0 
note_off 0 81 0 86 
note_on 0 81 50 0 
