<meta message time_signature numerator=4 denominator=4 clocks_per_click=48 notated_32nd_notes_per_beat=8 time=0>
<meta message set_tempo tempo=394737 time=0>
<meta message set_tempo tempo=434783 time=129120>
<meta message set_tempo tempo=476190 time=480>
<meta message set_tempo tempo=535714 time=480>
<meta message end_of_track time=0>
<meta message track_name name='Fuga sopra: Magnificat' time=0>
program_change 0 0 0 
note_on 0 60 127 1080 
note_off 0 60 64 96 
note_on 0 62 127 24 
note_off 0 62 64 96 
note_on 0 64 127 24 
note_off 0 64 64 96 
note_on 0 65 127 24 
note_off 0 65 64 96 
note_on 0 67 127 24 
note_off 0 67 64 96 
note_on 0 69 127 24 
note_off 0 69 64 96 
note_on 0 65 127 24 
note_off 0 65 64 96 
note_on 0 62 127 24 
note_off 0 62 64 192 
note_on 0 67 127 48 
note_off 0 67 64 192 
note_on 0 60 127 48 
note_off 0 60 64 192 
note_on 0 65 127 48 
note_off 0 65 64 192 
note_on 0 65 127 48 
note_off 0 65 64 192 
note_on 0 64 127 48 
note_off 0 64 64 96 
note_on 0 62 127 24 
note_off 0 62 64 96 
note_on 0 64 127 24 
note_off 0 64 64 864 
note_on 0 62 127 96 
note_off 0 62 64 864 
note_on 0 60 127 96 
note_off 0 60 64 672 
note_on 0 58 127 48 
note_off 0 58 64 96 
note_on 0 57 127 24 
note_off 0 57 64 96 
note_on 0 58 127 24 
note_off 0 58 64 192 
note_on 0 60 127 48 
note_off 0 60 64 96 
note_on 0 58 127 24 
note_off 0 58 64 96 
note_on 0 57 127 24 
note_off 0 57 64 384 
note_on 0 62 127 96 
note_off 0 62 64 672 
note_on 0 61 127 48 
note_off 0 61 64 96 
note_on 0 59 127 24 
note_off 0 59 64 96 
note_on 0 61 127 24 
note_off 0 61 64 192 
note_on 0 62 127 48 
note_off 0 62 64 96 
note_on 0 64 127 24 
note_off 0 64 64 96 
note_on 0 69 127 24 
note_off 0 69 64 384 
note_on 0 72 127 96 
note_off 0 72 64 384 
note_on 0 69 127 96 
note_off 0 69 64 384 
note_on 0 69 127 96 
note_off 0 69 64 384 
note_on 0 70 127 96 
note_off 0 70 64 384 
note_on 0 69 127 96 
note_off 0 69 64 384 
note_on 0 67 127 96 
note_off 0 67 64 768 
note_on 0 65 127 192 
note_off 0 65 64 768 
note_on 0 64 127 192 
note_off 0 64 64 576 
note_on 0 64 127 144 
note_off 0 64 64 192 
note_on 0 65 127 48 
note_off 0 65 64 96 
note_on 0 64 127 24 
note_off 0 64 64 96 
note_on 0 62 127 24 
note_off 0 62 64 96 
note_on 0 65 127 24 
note_off 0 65 64 96 
note_on 0 64 127 24 
note_off 0 64 64 96 
note_on 0 62 127 24 
note_off 0 62 64 96 
note_on 0 60 127 24 
note_off 0 60 64 96 
note_on 0 64 127 24 
note_off 0 64 64 96 
note_on 0 62 127 24 
note_off 0 62 64 768 
note_on 0 60 127 192 
note_off 0 60 64 384 
note_on 0 65 127 96 
note_off 0 65 64 864 
note_on 0 64 127 96 
note_off 0 64 64 864 
note_on 0 62 127 96 
note_off 0 62 64 864 
note_on 0 61 127 96 
note_off 0 61 64 384 
note_on 0 62 127 96 
note_off 0 62 64 192 
note_on 0 62 127 768 
note_off 0 62 64 1056 
note_on 0 60 127 24 
note_off 0 60 64 96 
note_on 0 62 127 24 
note_off 0 62 64 96 
note_on 0 64 127 24 
note_off 0 64 64 96 
note_on 0 65 127 24 
note_off 0 65 64 96 
note_on 0 67 127 24 
note_off 0 67 64 96 
note_on 0 69 127 24 
note_off 0 69 64 96 
note_on 0 65 127 24 
note_off 0 65 64 96 
note_on 0 70 127 24 
note_on 0 65 127 960 
note_off 0 70 64 96 
note_on 0 67 127 24 
note_off 0 67 64 96 
note_on 0 69 127 24 
note_off 0 69 64 96 
note_on 0 70 127 24 
note_off 0 70 64 96 
note_on 0 72 127 24 
note_off 0 72 64 96 
note_off 0 65 64 0 
note_on 0 74 127 24 
note_off 0 74 64 96 
note_on 0 64 127 24 
note_on 0 76 127 0 
note_off 0 76 64 96 
note_on 0 72 127 24 
note_off 0 64 64 72 
note_off 0 72 64 24 
note_on 0 77 127 24 
note_on 0 62 127 0 
note_off 0 77 64 96 
note_on 0 76 127 24 
note_off 0 76 64 96 
note_on 0 74 127 24 
note_off 0 74 64 96 
note_on 0 72 127 24 
note_off 0 72 64 96 
note_on 0 71 127 24 
note_off 0 71 64 96 
note_on 0 69 127 24 
note_off 0 69 64 96 
note_on 0 68 127 24 
note_off 0 68 64 96 
note_on 0 71 127 24 
note_off 0 71 64 96 
note_on 0 64 127 24 
note_off 0 62 64 96 
note_on 0 56 127 24 
note_off 0 64 64 72 
note_off 0 56 64 24 
note_on 0 66 127 24 
note_on 0 57 127 0 
note_off 0 57 64 96 
note_off 0 66 64 0 
note_on 0 59 127 24 
note_on 0 68 127 0 
note_off 0 68 64 96 
note_off 0 59 64 0 
note_on 0 69 127 24 
note_on 0 60 127 0 
note_off 0 60 64 96 
note_on 0 62 127 24 
note_off 0 62 64 96 
note_on 0 64 127 24 
note_off 0 64 64 96 
note_on 0 60 127 24 
note_off 0 60 64 96 
note_on 0 65 127 24 
note_off 0 65 64 96 
note_on 0 64 127 24 
note_off 0 69 64 72 
note_off 0 64 64 24 
note_on 0 71 127 24 
note_on 0 62 127 0 
note_off 0 62 64 96 
note_off 0 71 64 0 
note_on 0 60 127 24 
note_on 0 69 127 0 
note_off 0 69 64 96 
note_off 0 60 64 0 
note_on 0 59 127 24 
note_on 0 68 127 0 
note_off 0 59 64 96 
note_on 0 60 127 24 
note_off 0 68 64 72 
note_off 0 60 64 24 
note_on 0 62 127 24 
note_on 0 71 127 0 
note_off 0 62 64 96 
note_on 0 59 127 24 
note_off 0 71 64 72 
note_off 0 59 64 24 
note_on 0 76 127 24 
note_on 0 60 127 0 
note_off 0 60 64 96 
note_on 0 59 127 24 
note_off 0 59 64 96 
note_on 0 60 127 24 
note_off 0 60 64 96 
note_on 0 62 127 24 
note_off 0 76 64 24 
note_off 0 62 64 72 
note_on 0 79 127 24 
note_on 0 64 127 0 
note_off 0 64 64 96 
note_on 0 65 127 24 
note_off 0 65 64 96 
note_on 0 67 127 24 
note_off 0 67 64 96 
note_on 0 64 127 24 
note_off 0 79 64 24 
note_off 0 64 64 72 
note_on 0 72 127 24 
note_on 0 69 127 0 
note_on 0 76 127 0 
note_off 0 76 64 384 
note_on 0 76 127 96 
note_off 0 69 64 96 
note_off 0 72 64 0 
note_on 0 68 127 144 
note_on 0 71 127 0 
note_off 0 76 64 144 
note_off 0 71 64 48 
note_off 0 68 64 0 
note_on 0 69 127 48 
note_on 0 72 127 0 
note_on 0 77 127 0 
note_off 0 72 64 96 
note_on 0 76 127 24 
note_off 0 69 64 72 
note_off 0 76 64 24 
note_on 0 71 127 24 
note_on 0 74 127 0 
note_off 0 74 64 96 
note_on 0 72 127 24 
note_off 0 77 64 24 
note_off 0 72 64 72 
note_on 0 76 127 24 
note_on 0 71 127 0 
note_off 0 71 64 96 
note_on 0 74 127 24 
note_off 0 71 64 24 
note_off 0 74 64 72 
note_on 0 69 127 24 
note_on 0 72 127 0 
note_off 0 72 64 96 
note_off 0 69 64 0 
note_on 0 71 127 24 
note_on 0 67 127 0 
note_off 0 76 64 24 
note_off 0 67 64 72 
note_off 0 71 64 0 
note_on 0 74 127 24 
note_on 0 65 127 0 
note_on 0 69 127 0 
note_off 0 65 64 96 
note_on 0 64 127 24 
note_off 0 69 64 72 
note_off 0 64 64 24 
note_on 0 68 127 24 
note_on 0 62 127 0 
note_off 0 62 64 96 
note_off 0 68 64 0 
note_on 0 66 127 24 
note_on 0 60 127 0 
note_off 0 60 64 96 
note_off 0 66 64 0 
note_on 0 62 127 24 
note_on 0 68 127 0 
