<meta message set_tempo tempo=500000 time=0>
<meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message end_of_track time=108702>
<meta message track_name name='A.PIANO 1' time=0>
program_change 0 0 1152 
control_change 0 7 127 0 
control_change 0 64 127 486 
note_on 0 71 54 224 
note_on 0 62 27 18 
note_on 0 43 21 6 
note_on 0 55 14 0 
note_off 0 55 0 442 
note_on 0 57 36 318 
note_on 0 72 63 378 
note_off 0 71 0 48 
note_off 0 43 0 18 
note_on 0 74 76 116 
note_off 0 57 0 20 
note_off 0 72 0 14 
note_on 0 72 81 174 
note_on 0 55 30 28 
note_on 0 59 26 0 
note_off 0 74 0 32 
note_off 0 62 0 160 
note_off 0 72 0 48 
note_on 0 71 59 118 
note_on 0 62 39 24 
control_change 0 64 0 98 
control_change 0 64 127 120 
note_off 0 62 0 2 
note_on 0 69 59 142 
note_on 0 60 32 10 
note_off 0 71 0 4 
control_change 0 64 0 164 
note_off 0 60 0 70 
control_change 0 64 127 16 
note_on 0 71 43 128 
note_on 0 62 35 2 
note_off 0 69 0 28 
control_change 0 64 0 112 
note_on 0 67 54 72 
control_change 0 64 127 26 
note_off 0 71 0 34 
note_off 0 62 0 46 
note_off 0 59 0 110 
note_on 0 69 54 10 
note_on 0 60 32 10 
note_on 0 64 47 4 
note_off 0 67 0 56 
control_change 0 64 0 26 
control_change 0 64 127 184 
note_on 0 62 43 74 
note_off 0 60 0 34 
control_change 0 64 0 224 
control_change 0 64 127 84 
note_off 0 62 0 50 
note_on 0 60 41 0 
control_change 0 64 0 222 
control_change 0 64 127 110 
note_on 0 59 38 62 
note_off 0 60 0 8 
control_change 0 64 0 152 
control_change 0 64 127 110 
note_off 0 55 0 54 
note_off 0 59 0 82 
note_on 0 54 25 22 
note_on 0 62 37 2 
note_on 0 57 33 24 
note_off 0 64 0 44 
control_change 0 64 0 18 
control_change 0 64 127 86 
note_off 0 69 0 92 
note_on 0 69 73 256 
control_change 0 64 0 132 
control_change 0 64 127 136 
note_on 0 74 79 132 
note_off 0 69 0 28 
control_change 0 64 0 12 
control_change 0 64 127 134 
note_on 0 72 84 38 
control_change 0 64 0 24 
note_off 0 74 0 32 
control_change 0 64 127 92 
note_on 0 71 66 42 
control_change 0 64 0 6 
note_off 0 72 0 22 
note_on 0 72 69 152 
note_off 0 71 0 24 
control_change 0 64 127 110 
note_on 0 71 52 80 
note_off 0 57 0 2 
note_on 0 55 40 20 
note_off 0 54 0 10 
note_off 0 72 0 12 
control_change 0 64 0 108 
control_change 0 64 127 492 
