<meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message set_tempo tempo=461530 time=0>
<meta message end_of_track time=211968>
<meta message track_name name='STRINGS' time=0>
program_change 0 48 1536 
control_change 0 7 110 0 
control_change 0 10 50 0 
program_change 0 48 0 
control_change 0 7 110 0 
control_change 0 10 50 0 
program_change 0 48 0 
control_change 0 7 110 0 
control_change 0 10 50 0 
pitchwheel 0 0 0 
control_change 0 91 60 0 
control_change 0 93 0 0 
control_change 0 7 110 0 
note_on 0 71 122 0 
note_on 0 79 122 0 
note_on 0 62 100 0 
note_off 0 79 0 456 
note_off 0 71 0 4 
note_off 0 62 0 6 
note_on 0 74 113 110 
note_off 0 74 0 80 
note_on 0 79 122 112 
note_off 0 79 0 520 
note_on 0 74 111 56 
note_off 0 74 0 98 
note_on 0 79 117 94 
note_off 0 79 0 168 
note_on 0 74 116 24 
note_off 0 74 0 160 
note_on 0 79 122 32 
note_off 0 79 0 128 
note_on 0 83 118 64 
note_off 0 83 0 104 
note_on 0 86 121 88 
note_off 0 86 0 444 
note_on 0 84 116 324 
note_off 0 84 0 470 
note_on 0 81 116 106 
note_off 0 81 0 76 
note_on 0 84 110 116 
note_off 0 84 0 386 
note_on 0 81 110 190 
note_off 0 81 0 80 
note_on 0 84 105 112 
note_on 0 81 105 192 
note_off 0 84 0 64 
note_off 0 81 0 108 
note_on 0 78 100 20 
note_off 0 78 0 178 
note_on 0 81 95 14 
note_on 0 74 116 192 
note_off 0 81 0 16 
note_off 0 74 0 368 
note_on 0 62 90 384 
note_on 0 71 100 0 
note_on 0 79 110 0 
note_off 0 62 0 160 
note_off 0 71 0 38 
note_off 0 79 0 10 
note_on 0 79 116 176 
note_off 0 79 0 576 
note_on 0 83 112 0 
note_on 0 81 100 192 
note_off 0 83 0 40 
note_off 0 81 0 152 
note_on 0 79 112 0 
note_off 0 79 0 192 
note_on 0 81 100 0 
note_on 0 79 104 48 
note_off 0 81 0 18 
note_on 0 81 104 30 
note_off 0 79 0 16 
note_on 0 79 106 32 
note_off 0 81 0 16 
note_on 0 78 107 32 
note_off 0 79 0 16 
note_off 0 78 0 128 
note_on 0 78 116 48 
note_off 0 78 0 528 
note_on 0 81 100 48 
note_on 0 84 104 192 
note_off 0 81 0 24 
note_on 0 78 106 168 
note_off 0 84 0 48 
note_off 0 78 0 144 
note_on 0 81 102 0 
note_on 0 79 98 192 
note_off 0 81 0 22 
note_off 0 79 0 66 
note_on 0 79 105 104 
note_off 0 79 0 422 
note_on 0 83 100 154 
note_on 0 81 106 192 
note_off 0 83 0 16 
note_off 0 81 0 176 
note_on 0 79 100 0 
note_off 0 79 0 166 
note_on 0 81 114 26 
note_on 0 79 104 48 
note_off 0 81 0 16 
note_on 0 81 110 32 
note_off 0 79 0 16 
note_on 0 79 104 32 
note_off 0 81 0 18 
note_on 0 78 102 30 
note_off 0 79 0 16 
note_off 0 78 0 102 
note_on 0 78 112 74 
note_off 0 78 0 368 
note_on 0 81 106 208 
note_on 0 84 116 192 
note_off 0 81 0 18 
note_off 0 84 0 148 
note_on 0 78 110 26 
note_off 0 78 0 192 
note_on 0 79 116 0 
note_off 0 79 0 118 
note_on 0 79 110 74 
note_off 0 79 0 144 
note_on 0 79 112 48 
note_off 0 79 0 96 
note_on 0 78 110 0 
note_off 0 78 0 76 
note_on 0 76 94 20 
note_on 0 78 90 96 
note_off 0 76 0 24 
note_on 0 79 110 72 
note_off 0 78 0 6 
note_off 0 79 0 112 
note_on 0 79 116 74 
note_off 0 79 0 144 
note_on 0 83 100 48 
note_on 0 81 95 96 
note_off 0 83 0 16 
note_off 0 81 0 56 
note_on 0 79 90 24 
note_on 0 81 95 96 
note_off 0 79 0 16 
note_off 0 81 0 54 
note_on 0 83 102 26 
note_off 0 83 0 64 
note_on 0 83 107 128 
note_off 0 83 0 50 
note_on 0 86 106 142 
note_on 0 84 100 96 
note_off 0 86 0 8 
note_off 0 84 0 58 
note_on 0 83 104 30 
note_on 0 84 95 96 
note_off 0 83 0 2 
note_on 0 86 90 94 
note_off 0 84 0 2 
note_off 0 86 0 366 
note_on 0 74 52 400 
note_on 0 76 48 768 
note_off 0 74 0 2 
note_off 0 76 0 574 
note_on 0 74 47 192 
note_off 0 74 0 96 
note_on 0 72 48 0 
note_off 0 72 0 192 
note_on 0 72 47 96 
note_off 0 72 0 304 
note_on 0 72 46 80 
note_on 0 71 45 96 
note_off 0 72 0 34 
note_off 0 71 0 180 
note_on 0 71 43 74 
note_off 0 71 0 290 
note_on 0 71 44 94 
note_on 0 69 42 96 
note_off 0 71 0 54 
note_off 0 69 0 160 
note_on 0 69 46 74 
note_off 0 69 0 322 
note_on 0 67 55 62 
note_off 0 67 0 168 
note_on 0 66 56 24 
note_off 0 66 0 96 
note_on 0 64 65 96 
note_off 0 64 0 76 
note_on 0 66 60 116 
note_off 0 66 0 70 
note_on 0 67 44 122 
note_off 0 67 0 192 
note_on 0 69 47 192 
note_off 0 69 0 192 
note_on 0 71 42 192 
note_off 0 71 0 214 
note_on 0 74 75 554 
note_on 0 76 73 768 
note_off 0 74 0 24 
note_off 0 76 0 388 
note_on 0 74 90 356 
note_on 0 72 85 192 
note_off 0 74 0 28 
note_off 0 72 0 26 
note_on 0 72 95 138 
note_off 0 72 0 60 
note_on 0 72 90 132 
note_off 0 72 0 48 
note_on 0 72 100 144 
note_off 0 72 0 192 
note_on 0 71 94 0 
note_off 0 71 0 96 
note_on 0 71 100 96 
note_off 0 71 0 60 
note_on 0 71 96 132 
note_off 0 71 0 50 
note_on 0 71 100 142 
note_on 0 69 90 192 
note_off 0 71 0 8 
note_off 0 69 0 88 
note_on 0 69 100 96 
note_off 0 69 0 96 
note_on 0 69 95 96 
note_off 0 69 0 96 
note_on 0 67 86 96 
note_off 0 67 0 192 
note_on 0 66 84 0 
note_off 0 66 0 192 
note_on 0 64 92 0 
note_off 0 64 0 176 
note_on 0 66 96 16 
note_off 0 66 0 168 
note_on 0 67 110 24 
note_on 0 55 110 0 
note_off 0 55 0 712 
note_off 0 67 0 200 
note_on 0 69 80 22 
note_on 0 67 80 48 
note_off 0 69 0 26 
note_on 0 66 80 22 
note_off 0 67 0 32 
note_on 0 67 84 42 
note_off 0 66 0 38 
note_on 0 69 82 10 
note_off 0 67 0 22 
note_on 0 66 76 170 
note_off 0 69 0 82 
note_off 0 66 0 96 
note_on 0 71 110 14 
note_off 0 71 0 800 
note_on 0 72 78 160 
note_on 0 71 70 48 
note_off 0 72 0 48 
note_on 0 69 72 0 
note_off 0 71 0 18 
note_on 0 71 70 30 
note_on 0 72 76 48 
note_off 0 69 0 16 
note_off 0 71 0 18 
note_off 0 72 0 132 
note_on 0 69 75 26 
note_off 0 69 0 166 
note_on 0 74 76 26 
note_on 0 76 77 768 
note_off 0 74 0 28 
note_on 0 78 87 356 
note_off 0 76 0 16 
note_off 0 78 0 364 
note_on 0 79 89 4 
